#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1330.30329      1330.29228     -46164.8125        958.7250       2166.4143      -3284.4574      -6191.2484       1420.9147
     1330.32412      1330.31311     -45467.8844        943.7531       2535.8638      -3271.6556      -4112.1730       1401.2898
     1330.38662      1330.37561     -48238.2440        951.3360       2070.5850      -3271.6556       -402.6386       1402.8689
     1330.40746      1330.39644     -43494.1703        949.6917       -335.6085      -3271.6556      -3271.6556       1402.4590
     1330.42829      1330.41728     -46786.9694        948.0852        369.4597      -3271.6556      -2456.2602       1398.5008
     1330.44912      1330.43811     -47893.4915        996.9655      -1719.9014      -3284.4574      -4188.1579       1413.7467
     1330.46996      1330.45894     -48695.4861        962.2699        -74.7974      -3284.4574      -2959.2782       1417.2023
     1330.49079      1330.47978     -48943.6675       1007.9171      -1953.6264      -3381.2424      -5648.4078       1429.7113
     1330.51162      1330.50061     -44046.4325       1014.2872      -3357.8345      -3425.4709      -6011.9355       1437.3473
     1330.53246      1330.52144     -50030.7924       1014.7970      -2781.3004      -3482.2903      -1612.7808       1441.5762
     1330.55329      1330.54228     -49773.5386       1030.9788      -1136.9824      -3575.0843      -1129.7129       1455.1445
     1330.57412      1330.56311     -43682.7256       1047.9875      -4797.1092      -3575.0843      -1920.0422       1477.2007
     1330.59496      1330.58394     -46404.7082       1064.5248      -6425.1020      -3575.0843      -1675.2347       1495.0765
     1330.61579      1330.60478     -44493.1479       1066.6335      -8706.2324      -3575.0843      -3381.2424       1501.2939
     1330.63662      1330.62561     -43904.4096       1063.3032     -10645.8697      -3575.0843      -2275.0833       1499.9845
     1330.65746      1330.64644     -45863.5140       1090.5021     -14313.5929      -3833.9248      -2856.0642       1517.1940
     1330.67829      1330.66728     -47320.7136       1103.0744     -12982.9788      -4032.6277      -2501.5948       1528.8623
     1330.69912      1330.68811     -46536.1391       1103.2511     -15779.4269      -4112.1730      -1867.2557       1530.8576
     1330.71996      1330.70894     -47805.9959       1096.2348     -17132.7639      -4112.1730      -2289.0301       1521.5683
     1330.74079      1330.72978     -40848.5653       1097.1992     -19201.7645      -4160.3120        579.4822       1521.2571
     1330.76162      1330.75061     -46190.4423       1107.2989     -20619.9022      -4188.1579      -3482.2903       1536.2332
     1330.78246      1330.77144     -43271.1083       1105.7875     -23418.2018      -4188.1579      -1368.4115       1531.5296
     1330.80329      1330.79228     -44814.7235       1103.2004     -25230.6405      -4188.1579      -2767.9901       1531.2212
     1330.82412      1330.81311     -45784.7276       1088.2430     -24550.5996      -4280.3042      -6829.4013       1513.0550
